311,black mouth cur,Google,
310,toy poodle,Stanford,
309,miniature poodle,Stanford,
308,mexican hairless,Stanford,
307,kelpie,Stanford,
306,groenendael,Stanford,
305,dingo,Stanford,
304,dhole,Stanford,
303,brabancon griffon,Stanford,
302,blenheim spaniel,Stanford,
301,appenzeller,Stanford,
300,african hunting dog,Stanford,
1,labrador retriever,Stanford,Google
2,german shepherd,Stanford,Google
3,golden retriever,Stanford,Google
4,french bulldog,Stanford,Google
5,american bulldog,Oxford,
6,beagle,Oxford,Stanford
7,standard poodle,Stanford,Google
8,rottweiler,Stanford,Google
9,german-short-haired-pointer,Oxford,Stanford
10,yorkshire terrier,Oxford,Stanford
11,boxer,Oxford,Stanford
12,dachshund,Google,
13,pembroke,Stanford,Google
14,siberian husky,Stanford,Google
15,australian shepherd,Google,
16,great dane,Stanford,Google
17,doberman,Stanford,Google
18,cavalier king charles spaniel,Google,
19,miniature schnauzer,Stanford,
20,shih tzu,Stanford,Google
21,boston bull,Stanford,Google
22,bernese mountain dog,Stanford,Google
23,pomeranian,Oxford,Stanford
24,havanese,Oxford,
25,shetland sheepdog,Stanford,Google
26,brittany spaniel,Stanford,Google
27,english springer,Stanford,Google
28,pug,Oxford,Stanford
29,mastiff,Google,
30,english cocker spaniel,Oxford,
31,vizsla,Stanford,
32,cane corso,,
33,chihuahua,Oxford,Stanford
34,miniature american shepherd,,
35,border collie,Stanford,Google
36,weimaraner,Stanford,
37,maltese dog,Stanford,
38,collie,Stanford,
39,basset hound,Oxford,Stanford
40,newfoundland,Oxford,Stanford
41,rhodesian ridgeback,Stanford,Google
42,west highland white terrier,Stanford,
43,malinois,Stanford,
44,shiba inu,Oxford,
45,chesapeake bay retriever,Stanford,
46,bichons frise,,
47,akita,,
48,saint-bernard,Oxford,Stanford
49,bloodhound,Stanford,
50,portuguese water dog,,
51,bull mastiff,Stanford,
52,cocker spaniel,Stanford,
53,wheaten terrier,Oxford,Stanford
54,papillon,Stanford,
55,australian cattle dog,,
56,dalmatian,,
57,scottish terrier,Oxford,Stanford
58,malamute,Stanford,
59,samoyed,Oxford,Stanford
60,airedale,Stanford,
61,whippet,Stanford,
62,american pit bull terrier,Oxford,
63,German-wirehaired-pointer,,
64,chinese shar pei,,
65,wirehaired pointing griffon,,
66,great pyrenees,Oxford,Stanford
67,dogues de bordeaux,,
68,cardigan,Stanford,
69,cairn,Stanford,
70,miniature pinscher,Oxford,Stanford
71,lhasa,Stanford,
72,old english sheepdog,Stanford,
73,italian greyhound,Stanford,Google
